date,major_minor,downloads
2023-09-21,1.3,66
2023-09-22,1.3,32
2023-09-23,1.3,26
2023-09-24,0.9,1
2023-09-24,1.3,27
2023-09-25,0.9,1
2023-09-25,1.3,28
2023-09-26,1.3,33
2023-09-27,1.2,4
2023-09-27,1.3,28
2023-09-28,1.3,17
2023-09-29,1.3,26
2023-09-30,1.3,26
2023-10-01,1.3,26
2023-10-02,1.3,29
2023-10-03,1.3,38
2023-10-04,1.3,30
2023-10-05,1.3,27
2023-10-06,1.3,40
2023-10-07,1.3,19
2023-10-08,1.3,23
2023-10-09,1.3,24
2023-10-10,1.2,2
2023-10-10,1.3,33
2023-10-11,1.3,33
2023-10-12,1.3,60
2023-10-13,1.3,68
2023-10-14,1.3,18
2023-10-15,1.3,25
2023-10-16,1.3,40
2023-10-17,1.3,35
2023-10-18,1.3,24
2023-10-19,1.3,51
2023-10-20,1.3,67
2023-10-21,1.3,24
2023-10-22,1.3,24
2023-10-23,1.3,25
2023-10-24,1.3,24
2023-10-25,1.3,14
2023-10-26,1.3,26
2023-10-27,1.3,28
2023-10-28,1.3,24
2023-10-29,1.3,24
2023-10-30,1.3,22
2023-10-31,1.3,18
2023-11-01,1.1,6
2023-11-01,1.3,20
2023-11-02,1.1,12
2023-11-02,1.3,35
2023-11-03,1.3,24
2023-11-04,1.3,24
2023-11-05,1.3,24
2023-11-06,1.3,26
2023-11-07,1.3,37
2023-11-08,1.3,29
2023-11-09,1.3,17
2023-11-10,1.3,26
2023-11-11,1.3,22
2023-11-12,1.3,23
2023-11-13,1.3,24
2023-11-14,1.3,30
2023-11-15,1.3,26
2023-11-16,1.3,35
2023-11-17,1.3,26
2023-11-18,1.3,26
2023-11-19,1.3,24
2023-11-20,1.3,28
2023-11-21,1.3,25
2023-11-22,1.3,23
2023-11-23,1.3,23
2023-11-24,1.3,24
2023-11-25,1.3,22
2023-11-26,1.3,22
2023-11-27,1.3,25
2023-11-28,1.3,26
2023-11-29,1.2,8
2023-11-29,1.3,25
2023-11-30,1.2,1
2023-11-30,1.3,19
2023-12-01,1.2,1
2023-12-01,1.3,26
2023-12-02,1.3,28
2023-12-03,1.3,27
2023-12-04,1.3,26
2023-12-05,1.3,21
2023-12-06,1.3,23
2023-12-07,1.3,25
2023-12-08,1.3,24
2023-12-09,1.3,26
2023-12-10,1.3,26
2023-12-11,1.3,23
2023-12-12,1.3,22
2023-12-13,1.3,21
2023-12-14,1.3,22
2023-12-15,1.1,1
2023-12-15,1.3,22
2023-12-16,1.3,22
2023-12-17,1.3,27
2023-12-18,1.3,27
2023-12-19,1.3,23
2023-12-20,1.3,24
2023-12-21,1.3,25
2023-12-22,1.3,26
2023-12-23,1.3,22
2023-12-24,1.3,24
2023-12-25,1.3,22
2023-12-26,1.3,22
2023-12-27,1.3,24
2023-12-28,1.3,22
2023-12-29,1.3,23
2023-12-30,1.3,20
2023-12-31,1.3,26
2024-01-01,1.3,23
2024-01-02,1.3,25
2024-01-03,1.3,23
2024-01-04,1.3,28
2024-01-05,1.3,22
2024-01-06,1.3,26
2024-01-07,1.3,19
2024-01-08,1.3,20
2024-01-09,1.3,26
2024-01-10,1.3,25
2024-01-11,1.2,1
2024-01-11,1.3,13
2024-01-12,1.3,19
2024-01-13,1.3,20
2024-01-14,1.3,24
2024-01-15,1.3,23
2024-01-16,1.3,23
2024-01-17,1.3,25
2024-01-18,1.3,24
2024-01-19,1.3,24
2024-01-20,1.3,26
2024-01-21,1.3,26
2024-01-22,1.3,24
2024-01-23,1.2,3
2024-01-23,1.3,28
2024-01-24,1.3,21
