date,type,downloads
2018-01-11,RS-os,1525
2018-01-11,desktop,24214
2018-01-12,RS-os,1773
2018-01-12,desktop,19547
2018-01-13,RS-os,1279
2018-01-13,desktop,11948
2018-01-14,RS-os,1133
2018-01-14,desktop,11215
2018-01-15,RS-os,1855
2018-01-15,desktop,20148
2018-01-16,RS-os,1967
2018-01-16,desktop,26092
2018-01-17,RS-os,1955
2018-01-17,desktop,27492
2018-01-18,RS-os,2599
2018-01-18,desktop,31899
2018-01-19,RS-os,2459
2018-01-19,desktop,25624
2018-01-20,RS-os,1352
2018-01-20,desktop,14613
2018-01-21,RS-os,1298
2018-01-21,desktop,14265
2018-01-22,RS-os,2040
2018-01-22,desktop,29755
2018-01-23,RS-os,2008
2018-01-23,desktop,30120
2018-01-24,RS-os,2033
2018-01-24,desktop,28609
2018-01-25,RS-os,2062
2018-01-25,desktop,26011
2018-01-26,RS-os,1801
2018-01-26,desktop,21790
2018-01-27,RS-os,1432
2018-01-27,desktop,13652
2018-01-28,RS-os,1396
2018-01-28,desktop,13456
2018-01-29,RS-os,2151
2018-01-29,desktop,26406
2018-01-30,RS-os,2499
2018-01-30,desktop,26977
2018-01-31,RS-os,1970
2018-01-31,desktop,25307
2018-02-01,RS-os,2072
2018-02-01,desktop,23940
2018-02-02,RS-os,1934
2018-02-02,desktop,20386
2018-02-03,RS-os,1336
2018-02-03,desktop,13120
2018-02-04,RS-os,1236
2018-02-04,desktop,13161
2018-02-05,RS-os,1940
2018-02-05,desktop,24012
2018-02-06,RS-os,2263
2018-02-06,desktop,25489
2018-02-07,RS-os,2073
2018-02-07,desktop,24525
2018-02-08,RS-os,2246
2018-02-08,desktop,24356
2018-02-09,RS-os,2005
2018-02-09,desktop,20335
2018-02-10,RS-os,1328
2018-02-10,desktop,12848
2018-02-11,RS-os,1390
2018-02-11,desktop,12726
2018-02-12,RS-os,1850
2018-02-12,desktop,22031
2018-02-13,RS-os,1922
2018-02-13,desktop,21727
2018-02-14,RS-os,1946
2018-02-14,desktop,20335
2018-02-15,RS-os,1827
2018-02-15,desktop,20222
2018-02-16,RS-os,1859
2018-02-16,desktop,17837
2018-02-17,RS-os,1402
2018-02-17,desktop,11570
2018-02-18,RS-os,1434
2018-02-18,desktop,11604
2018-02-19,RS-os,1891
2018-02-19,desktop,21539
2018-02-20,RS-os,2036
2018-02-20,desktop,22789
2018-02-21,RS-os,2147
2018-02-21,desktop,22240
2018-02-22,RS-os,2026
2018-02-22,desktop,22064
2018-02-23,RS-os,2078
2018-02-23,desktop,19620
2018-02-24,RS-os,1309
2018-02-24,desktop,13346
2018-02-25,RS-os,1374
2018-02-25,desktop,13268
2018-02-26,RS-os,2137
2018-02-26,desktop,24385
2018-02-27,RS-os,1984
2018-02-27,desktop,23864
2018-02-28,RS-os,2018
2018-02-28,desktop,23902
2018-03-01,RS-os,1825
2018-03-01,desktop,23487
2018-03-02,RS-os,1818
2018-03-02,desktop,20349
2018-03-03,RS-os,1326
2018-03-03,desktop,13777
2018-03-04,RS-os,1356
2018-03-04,desktop,14114
2018-03-05,RS-os,1817
2018-03-05,desktop,26403
2018-03-06,RS-os,2001
2018-03-06,desktop,27825
2018-03-07,RS-os,2005
2018-03-07,desktop,27035
2018-03-08,RS-os,1990
2018-03-08,desktop,25690
2018-03-09,RS-os,1900
2018-03-09,desktop,22137
2018-03-10,RS-os,1373
2018-03-10,desktop,14711
2018-03-11,RS-os,1366
2018-03-11,desktop,14748
2018-03-12,RS-os,1948
2018-03-12,desktop,26844
2018-03-13,RS-os,2017
2018-03-13,desktop,27549
2018-03-14,RS-os,2062
2018-03-14,desktop,26428
2018-03-15,RS-os,2095
2018-03-15,desktop,25462
2018-03-16,RS-os,1827
2018-03-16,desktop,21964
2018-03-17,RS-os,1180
2018-03-17,desktop,14387
2018-03-18,RS-os,1253
2018-03-18,desktop,14296
2018-03-19,RS-os,1922
2018-03-19,desktop,25237
2018-03-20,RS-os,1958
2018-03-20,desktop,26025
2018-03-21,RS-os,1984
2018-03-21,desktop,25633
2018-03-22,RS-os,1838
2018-03-22,desktop,24039
2018-03-23,RS-os,2108
2018-03-23,desktop,20509
2018-03-24,RS-os,1397
2018-03-24,desktop,13783
2018-03-25,RS-os,1509
2018-03-25,desktop,13734
2018-03-26,RS-os,1797
2018-03-26,desktop,22781
2018-03-27,RS-os,2041
2018-03-27,desktop,24649
2018-03-28,RS-os,1946
2018-03-28,desktop,22445
2018-03-29,RS-os,1844
2018-03-29,desktop,20513
2018-03-30,RS-os,1542
2018-03-30,desktop,16500
2018-03-31,RS-os,1203
2018-03-31,desktop,12981
2018-04-01,RS-os,859
2018-04-01,desktop,11174
2018-04-02,RS-os,1326
2018-04-02,desktop,19166
2018-04-03,RS-os,1532
2018-04-03,desktop,23347
2018-04-04,RS-os,1720
2018-04-04,desktop,24916
2018-04-05,RS-os,1527
2018-04-05,desktop,21832
2018-04-06,RS-os,1457
2018-04-06,desktop,18996
2018-04-07,RS-os,1097
2018-04-07,desktop,12184
2018-04-08,RS-os,1202
2018-04-08,desktop,12824
2018-04-09,RS-os,1513
2018-04-09,desktop,23919
2018-04-10,RS-os,1692
2018-04-10,desktop,24458
2018-04-11,RS-os,1675
2018-04-11,desktop,23558
2018-04-12,RS-os,1756
2018-04-12,desktop,22553
2018-04-13,RS-os,1793
2018-04-13,desktop,18929
2018-04-14,RS-os,1323
2018-04-14,desktop,12035
2018-04-15,RS-os,1300
2018-04-15,desktop,12833
2018-04-16,RS-os,1620
2018-04-16,desktop,23140
2018-04-17,RS-os,1788
2018-04-17,desktop,22853
2018-04-18,RS-os,1835
2018-04-18,desktop,22738
2018-04-19,RS-os,1726
2018-04-19,desktop,22069
2018-04-20,RS-os,1821
2018-04-20,desktop,18568
2018-04-21,RS-os,862
2018-04-21,desktop,11516
2018-04-22,RS-os,953
2018-04-22,desktop,12532
2018-04-23,RS-os,1739
2018-04-23,desktop,21973
2018-04-24,RS-os,1605
2018-04-24,desktop,21851
2018-04-25,RS-os,1576
2018-04-25,desktop,20455
2018-04-26,RS-os,1488
2018-04-26,desktop,19949
2018-04-27,RS-os,1392
2018-04-27,desktop,16883
2018-04-28,RS-os,1035
2018-04-28,desktop,11102
2018-04-29,RS-os,967
2018-04-29,desktop,10950
2018-04-30,RS-os,1429
