"date","downloads"
"2020-04-05",21476
"2020-04-06",32644
"2020-04-07",31464
"2020-04-08",31760
"2020-04-09",28535
"2020-04-10",25357
"2020-04-11",19481
"2020-04-12",19330
"2020-04-13",29796
"2020-04-14",35108
"2020-04-15",34582
"2020-04-16",33755
"2020-04-17",31194
"2020-04-18",23091
"2020-04-19",23714
"2020-04-20",35371
"2020-04-21",34760
"2020-04-22",33708
"2020-04-23",32427
"2020-04-24",28962
"2020-04-25",22007
"2020-04-26",22428
"2020-04-27",32460
"2020-04-28",31446
"2020-04-29",31060
"2020-04-30",29468
"2020-05-01",25882
"2020-05-02",20408
"2020-05-03",21013
"2020-05-04",30593
"2020-05-05",32790
"2020-05-06",34160
"2020-05-07",30024
"2020-05-08",27070
"2020-05-09",21202
"2020-05-10",20668
"2020-05-11",33020
"2020-05-12",33513
"2020-05-13",31207
"2020-05-14",30045
"2020-05-15",26933
"2020-05-16",20216
"2020-05-17",19941
"2020-05-18",29750
"2020-05-19",28913
"2020-05-20",27216
"2020-05-21",24838
"2020-05-22",23540
"2020-05-23",23830
"2020-05-24",19032
"2020-05-25",27104
"2020-05-26",31310
"2020-05-27",31408
"2020-05-28",32934
"2020-05-29",30268
"2020-05-30",18448
"2020-05-31",20357
"2020-06-01",30694
"2020-06-02",32832
"2020-06-03",31100
"2020-06-04",29059
"2020-06-05",26630
"2020-06-06",19857
"2020-06-07",19521
"2020-06-08",30285
"2020-06-09",30223
"2020-06-10",28760
"2020-06-11",27770
"2020-06-12",25825
"2020-06-13",18359
"2020-06-14",18563
"2020-06-15",25994
"2020-06-16",30239
"2020-06-17",27618
"2020-06-18",26000
"2020-06-19",24437
"2020-06-20",17138
"2020-06-21",17935
"2020-06-22",28786
