"date","count","package"
2019-06-21,9725,"broom"
2019-06-22,12085,"broom"
2019-06-23,11683,"broom"
2019-06-24,15273,"broom"
2019-06-25,13371,"broom"
2019-06-26,9891,"broom"
2019-06-27,9862,"broom"
2019-06-28,9142,"broom"
2019-06-29,4452,"broom"
2019-06-30,4594,"broom"
2019-07-01,10152,"broom"
2019-07-02,10785,"broom"
2019-07-03,11274,"broom"
2019-07-04,8411,"broom"
2019-07-05,8548,"broom"
2019-07-06,4879,"broom"
2019-07-07,4613,"broom"
2019-07-08,11416,"broom"
2019-07-09,11517,"broom"
2019-07-10,10732,"broom"
2019-07-11,9337,"broom"
2019-07-12,8928,"broom"
2019-07-13,4129,"broom"
2019-07-14,4136,"broom"
2019-07-15,10012,"broom"
2019-07-16,10353,"broom"
2019-07-17,10628,"broom"
2019-07-18,10400,"broom"
2019-07-19,9101,"broom"
2019-07-20,4164,"broom"
2019-07-21,4383,"broom"
